Order_ID,Order_Date,Customer_ID,Product_Category,Sales,Quantity,Profit,Discount
ORD050,2024-07-22,CUST010,Furniture,630.00,2,189.00,0.15
ORD051,2024-07-25,CUST011,Office Supplies,380.00,7,114.00,0.18
ORD052,2024-07-28,CUST012,Technology,1320.00,2,528.00,0.00
ORD053,2024-08-02,CUST013,Furniture,920.00,4,276.00,0.12
ORD054,2024-08-05,CUST014,Office Supplies,410.00,10,123.00,0.15
ORD055,2024-08-08,CUST015,Technology,950.00,1,380.00,0.10
ORD056,2024-08-12,CUST016,Furniture,780.00,2,234.00,0.12
ORD057,2024-08-15,CUST017,Office Supplies,360.00,8,108.00,0.20
ORD058,2024-08-18,CUST018,Technology,1180.00,3,472.00,0.08
ORD059,2024-08-22,CUST019,Furniture,850.00,3,255.00,0.10
ORD060,2024-08-25,CUST020,Office Supplies,490.00,9,147.00,0.12
ORD061,2024-09-01,CUST001,Technology,1050.00,2,420.00,0.08
ORD062,2024-09-05,CUST002,Furniture,720.00,2,216.00,0.10
ORD063,2024-09-08,CUST003,Office Supplies,320.00,6,96.00,0.20
ORD064,2024-09-12,CUST004,Technology,980.00,1,392.00,0.05
ORD065,2024-09-15,CUST005,Furniture,610.00,2,183.00,0.12
ORD066,2024-09-18,CUST006,Office Supplies,440.00,8,132.00,0.15
ORD067,2024-09-22,CUST007,Technology,1260.00,2,504.00,0.00
ORD068,2024-09-25,CUST008,Furniture,890.00,3,267.00,0.10
ORD069,2024-09-28,CUST009,Office Supplies,380.00,7,114.00,0.18
ORD070,2024-10-02,CUST010,Technology,1100.00,3,440.00,0.08
ORD071,2024-10-05,CUST011,Furniture,750.00,2,225.00,0.12
ORD072,2024-10-08,CUST012,Office Supplies,420.00,10,126.00,0.15
ORD073,2024-10-12,CUST013,Technology,820.00,1,328.00,0.10
ORD074,2024-10-15,CUST014,Furniture,680.00,2,204.00,0.15
ORD075,2024-10-18,CUST015,Office Supplies,350.00,7,105.00,0.20
ORD076,2024-10-22,CUST016,Technology,1180.00,2,472.00,0.08
ORD077,2024-10-25,CUST017,Furniture,920.00,3,276.00,0.10
ORD078,2024-10-28,CUST018,Office Supplies,510.00,9,153.00,0.12
ORD079,2024-11-02,CUST019,Technology,960.00,1,384.00,0.10
ORD080,2024-11-05,CUST020,Furniture,800.00,2,240.00,0.12
ORD081,2024-11-08,CUST001,Office Supplies,390.00,8,117.00,0.18
ORD082,2024-11-12,CUST002,Technology,1320.00,3,528.00,0.00
ORD083,2024-11-15,CUST003,Furniture,740.00,2,222.00,0.10
ORD084,2024-11-18,CUST004,Office Supplies,460.00,10,138.00,0.15
ORD085,2024-11-22,CUST005,Technology,1050.00,1,420.00,0.08
ORD086,2024-11-25,CUST006,Furniture,650.00,2,195.00,0.12
ORD087,2024-11-28,CUST007,Office Supplies,340.00,6,102.00,0.20
ORD088,2024-12-02,CUST008,Technology,1180.00,2,472.00,0.08
ORD089,2024-12-05,CUST009,Furniture,880.00,3,264.00,0.10
ORD090,2024-12-08,CUST010,Office Supplies,420.00,9,126.00,0.15
ORD091,2024-12-12,CUST011,Technology,760.00,1,304.00,0.10
ORD092,2024-12-15,CUST012,Furniture,920.00,2,276.00,0.12
ORD093,2024-12-18,CUST013,Office Supplies,380.00,7,114.00,0.18
ORD094,2024-12-22,CUST014,Technology,1100.00,3,440.00,0.08
ORD095,2024-12-25,CUST015,Furniture,750.00,2,225.00,0.15
ORD096,2024-12-28,CUST016,Office Supplies,510.00,10,153.00,0.12
ORD097,2025-01-02,CUST017,Technology,980.00,1,392.00,0.05
ORD098,2025-01-05,CUST018,Furniture,820.00,3,246.00,0.10
ORD099,2025-01-08,CUST019,Office Supplies,440.00,8,132.00,0.15
ORD100,2025-01-12,CUST020,Technology,1260.00,2,504.00,0.00
